date,precipitation,city,quarter,year,month,cumulative_month,cumulative_quarter
2020-11-27,0.042499999999999996,Seattle,4,2020,11,10,3
2020-11-28,0.046,Seattle,4,2020,11,10,3
2020-11-29,0.072,Seattle,4,2020,11,10,3
2020-11-30,0.438,Seattle,4,2020,11,10,3
2020-12-01,0.005,Seattle,4,2020,12,11,3
2020-12-02,0.0025,Seattle,4,2020,12,11,3
2020-12-03,0.0,Seattle,4,2020,12,11,3
2020-12-04,0.0,Seattle,4,2020,12,11,3
2020-12-05,0.0,Seattle,4,2020,12,11,3
2020-12-06,0.022,Seattle,4,2020,12,11,3
2020-12-07,0.002,Seattle,4,2020,12,11,3
2020-12-08,0.192,Seattle,4,2020,12,11,3
2020-12-09,0.47800000000000004,Seattle,4,2020,12,11,3
2020-12-10,0.02,Seattle,4,2020,12,11,3
2020-12-11,0.02,Seattle,4,2020,12,11,3
2020-12-12,0.0,Seattle,4,2020,12,11,3
2020-12-13,0.09,Seattle,4,2020,12,11,3
2020-12-14,0.16999999999999998,Seattle,4,2020,12,11,3
2020-12-15,0.2675,Seattle,4,2020,12,11,3
2020-12-16,0.076,Seattle,4,2020,12,11,3
2020-12-17,0.4416666666666667,Seattle,4,2020,12,11,3
2020-12-18,0.16799999999999998,Seattle,4,2020,12,11,3
2020-12-19,0.28833333333333333,Seattle,4,2020,12,11,3
2020-12-20,0.305,Seattle,4,2020,12,11,3
2020-12-21,0.6942857142857143,Seattle,4,2020,12,11,3
2020-12-22,1.635,Seattle,4,2020,12,11,3
2020-12-23,0.0033333333333333335,Seattle,4,2020,12,11,3
2020-12-24,0.0,Seattle,4,2020,12,11,3
2020-12-25,0.075,Seattle,4,2020,12,11,3
2020-12-26,0.43,Seattle,4,2020,12,11,3
2020-12-27,0.096,Seattle,4,2020,12,11,3
2020-12-28,0.096,Seattle,4,2020,12,11,3
2020-12-29,0.055,Seattle,4,2020,12,11,3
2020-12-30,0.6028571428571429,Seattle,4,2020,12,11,3
2020-12-31,0.43166666666666664,Seattle,4,2020,12,11,3
2021-01-01,0.17,Seattle,1,2021,1,12,4
2021-01-02,0.585,Seattle,1,2021,1,12,4
2021-01-03,1.4383333333333335,Seattle,1,2021,1,12,4
2021-01-04,0.5950000000000001,Seattle,1,2021,1,12,4
2021-01-05,0.3385714285714286,Seattle,1,2021,1,12,4
2021-01-06,0.9183333333333333,Seattle,1,2021,1,12,4
2021-01-07,0.005,Seattle,1,2021,1,12,4
2021-01-08,0.10428571428571429,Seattle,1,2021,1,12,4
2021-01-09,0.15571428571428572,Seattle,1,2021,1,12,4
2021-01-10,0.08833333333333333,Seattle,1,2021,1,12,4
2021-01-11,0.18499999999999997,Seattle,1,2021,1,12,4
2021-01-12,1.8399999999999999,Seattle,1,2021,1,12,4
2021-01-13,0.9199999999999999,Seattle,1,2021,1,12,4
2021-01-14,0.013333333333333334,Seattle,1,2021,1,12,4
2021-01-15,0.186,Seattle,1,2021,1,12,4
2021-01-16,0.0125,Seattle,1,2021,1,12,4
2021-01-17,0.036,Seattle,1,2021,1,12,4
2021-01-18,0.0,Seattle,1,2021,1,12,4
2021-01-19,0.0,Seattle,1,2021,1,12,4
2021-01-20,0.0,Seattle,1,2021,1,12,4
2021-01-21,0.03666666666666667,Seattle,1,2021,1,12,4
2021-01-22,0.012,Seattle,1,2021,1,12,4
2021-01-23,0.0,Seattle,1,2021,1,12,4
2021-01-24,0.11666666666666665,Seattle,1,2021,1,12,4
2021-01-25,0.154,Seattle,1,2021,1,12,4
2021-01-26,0.01,Seattle,1,2021,1,12,4
2021-01-27,0.098,Seattle,1,2021,1,12,4
2021-01-28,0.19333333333333333,Seattle,1,2021,1,12,4
2021-01-29,0.1366666666666667,Seattle,1,2021,1,12,4
2021-01-30,0.135,Seattle,1,2021,1,12,4
2021-01-31,0.21,Seattle,1,2021,1,12,4
2021-02-01,0.5825,Seattle,1,2021,2,13,4
2021-02-02,0.728,Seattle,1,2021,2,13,4
2021-02-03,0.356,Seattle,1,2021,2,13,4
2021-02-04,0.01,Seattle,1,2021,2,13,4
2021-02-05,0.13199999999999998,Seattle,1,2021,2,13,4
2021-02-06,0.026000000000000002,Seattle,1,2021,2,13,4
2021-02-07,0.0275,Seattle,1,2021,2,13,4
2021-02-08,0.124,Seattle,1,2021,2,13,4
2021-02-09,0.018,Seattle,1,2021,2,13,4
2021-02-10,0.0,Seattle,1,2021,2,13,4
2021-02-11,0.0,Seattle,1,2021,2,13,4
2021-02-12,0.076,Seattle,1,2021,2,13,4
2021-02-13,0.586,Seattle,1,2021,2,13,4
2021-02-14,0.33399999999999996,Seattle,1,2021,2,13,4
2021-02-15,0.45599999999999996,Seattle,1,2021,2,13,4
2021-02-16,0.10400000000000001,Seattle,1,2021,2,13,4
2021-02-17,0.044,Seattle,1,2021,2,13,4
2021-02-18,0.05,Seattle,1,2021,2,13,4
2021-02-19,0.1,Seattle,1,2021,2,13,4
2021-02-20,0.03333333333333333,Seattle,1,2021,2,13,4
2021-02-21,0.12,Seattle,1,2021,2,13,4
2021-02-22,0.23249999999999998,Seattle,1,2021,2,13,4
2021-02-23,0.21,Seattle,1,2021,2,13,4
2021-02-24,0.13,Seattle,1,2021,2,13,4
2021-02-25,0.172,Seattle,1,2021,2,13,4
2021-02-26,0.082,Seattle,1,2021,2,13,4
2021-02-27,0.08600000000000001,Seattle,1,2021,2,13,4
2021-02-28,0.024,Seattle,1,2021,2,13,4
2021-03-01,0.0,Seattle,1,2021,3,14,4
2021-03-02,0.002,Seattle,1,2021,3,14,4
2021-03-03,0.013333333333333334,Seattle,1,2021,3,14,4
2021-03-04,0.09999999999999999,Seattle,1,2021,3,14,4
2021-03-05,0.348,Seattle,1,2021,3,14,4
2021-03-06,0.0575,Seattle,1,2021,3,14,4
2021-03-07,0.13,Seattle,1,2021,3,14,4
2021-03-08,0.145,Seattle,1,2021,3,14,4
2021-03-09,0.0033333333333333335,Seattle,1,2021,3,14,4
